benchmark,slice_time,sppl_time,speedup
DT14_bn1,0.009521961212158203,0.34079527854919434,35.7904501978066
DT14_bn2,0.010683298110961914,0.3556690216064453,33.292061862572254
DT14_ind,0.007540702819824219,0.32445836067199707,43.027602124699634
DT16_bn1,0.009108781814575195,0.3491952419281006,38.336107839288054
DT16_bn2,0.011017560958862305,0.3386082649230957,30.73350500962974
DT16_ind,0.007641792297363281,0.3393995761871338,44.413609135155376
DT44_bn1,0.015877485275268555,0.3628273010253906,22.851685561979128
DT44_bn2,0.016013145446777344,0.35356926918029785,22.0799386576142
DT44_ind,0.011234045028686523,0.34928083419799805,31.091279526305737
DT4_bn1,0.007829904556274414,0.3348963260650635,42.77144423129624
DT4_bn2,0.007343769073486328,0.34032487869262695,46.34199077981949
DT4_ind,0.007353544235229492,0.33495545387268066,45.55020588139934
